Part numbe          ;Supplier            ;Supplier N          
7680607AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680608AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680609AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680610AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680611AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680613AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680626AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680633AA         ;431789;JEHIER SAS - HUTCHINSON GROUP      
7680639AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680641AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680642AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680653AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680654AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680657AA         ;429887;Schaltbau GmbH                     
7680662AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680717AB         ;SGT       ;Plastic Omnium e.Power GmbH        
7680718AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680732AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680733AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680736AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680737AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680738AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680739AB         ;433699;SUZHOU WEST DEANE NEW POWER        
7680740AB         ;431789;JEHIER SAS - HUTCHINSON GROUP      
7680741AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680742AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680743AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680744AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680745AB         ;433699;SUZHOU WEST DEANE NEW POWER        
7680747AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680748AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680749AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680755AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680756AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680759AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680760AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680764AA         ;434237;RECTIFICADORES GUASCH, S.A.U.      
7680765AA         ;434237;RECTIFICADORES GUASCH, S.A.U.      
7680766AA         ;430235;BOSSARD FRANCE                     
;434237;RECTIFICADORES GUASCH, S.A.U.      
7680776AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680781AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680791AA         ;412272;RS COMPONENTS SAS                  
;430242;ADDEV MATERIALS AEROSPACE SAS      
7710474AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7710475AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7710476AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7710485AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7710550AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7710558AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7710568AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7710570AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7710571AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7710683AA         ;434227;LE JOINT FRANÇAIS SNC              
7710683AB         ;100061;HIDRO RUBBER IBERICA,  S.A.U.      
7710687AA         ;100061;HIDRO RUBBER IBERICA,  S.A.U.      
7710689AA         ;434227;LE JOINT FRANÇAIS SNC              
7710689AB         ;100061;HIDRO RUBBER IBERICA,  S.A.U.      
7710690AA         ;434227;LE JOINT FRANÇAIS SNC              
7710690AB         ;100061;HIDRO RUBBER IBERICA,  S.A.U.      
7710696AB         ;100061;HIDRO RUBBER IBERICA,  S.A.U.      
7710710AA         ;434227;LE JOINT FRANÇAIS SNC              
7710711AA         ;434227;LE JOINT FRANÇAIS SNC              
7730173AA         ;434227;LE JOINT FRANÇAIS SNC              
7730173AB         ;100061;HIDRO RUBBER IBERICA,  S.A.U.      
7730174AA         ;434227;LE JOINT FRANÇAIS SNC              
7730174AB         ;100061;HIDRO RUBBER IBERICA,  S.A.U.      
7730175AA         ;434227;LE JOINT FRANÇAIS SNC              
7730175AB         ;100061;HIDRO RUBBER IBERICA,  S.A.U.      
7910308AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7910365AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7920169AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7920170AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7920171AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7920200AA         ;429894;Bender GmbH & Co. KG               
7920239AG         ;433768;UARTRONICA ELECTRONICA LDA         
7920243AB         ;433768;UARTRONICA ELECTRONICA LDA         
7920244AB         ;433768;UARTRONICA ELECTRONICA LDA         
7920245AB         ;433768;UARTRONICA ELECTRONICA LDA         
7990348AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990355AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990356AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990357AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990360AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990391AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990392AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990393AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990394AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990395AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990396AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990397AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990487AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990594AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990626AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990638AB         ;429782;SIBA GmbH                          
7990639AA         ;430299;MERSEN FRANCE SB                   
7990649AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990693AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7990696AA         ;429887;Schaltbau GmbH                     
7990697AA         ;429887;Schaltbau GmbH                     
7990699AA         ;411640;AVNET EMG FRANCE SA                
7990700AB         ;430299;MERSEN FRANCE SB                   
7990705AA         ;431956;TELERGON, S.A.U.                   
7990720AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7990723AA         ;431956;TELERGON, S.A.U.                   
7990728AA         ;430201;HARTING France                     
7990729AA         ;430201;HARTING France                     
7990730AA         ;430201;HARTING France                     
7990731AA         ;429869;Cicor Deutschland GmbH             
7990732AA         ;429869;Cicor Deutschland GmbH             
